Step,f1,esl,-esl,pesl,-pesl,COR_ESL,COR_PESL
0,0.160627514,0.263040453,-0.263040453,0.396015733,-0.396015733,0.888126829,0.937371512
1,0.173912987,0.259699404,-0.259699404,0.391430885,-0.391430885,,
2,0.186804995,0.25672254,-0.25672254,0.386079401,-0.386079401,,
3,0.204841658,0.253886074,-0.253886074,0.379624575,-0.379624575,,
4,0.21096091,0.249530762,-0.249530762,0.374364674,-0.374364674,,
5,0.216114417,0.249086559,-0.249086559,0.37392047,-0.37392047,,
6,0.202095762,0.251228899,-0.251228899,0.37787202,-0.37787202,,
7,0.193403244,0.253442854,-0.253442854,0.381555945,-0.381555945,,
8,0.189720288,0.25048551,-0.25048551,0.3787117,-0.3787117,,
9,0.196671665,0.246286675,-0.246286675,0.373382121,-0.373382121,,
10,0.191884667,0.242398128,-0.242398128,0.369832814,-0.369832814,,
11,0.202066541,0.23778826,-0.23778826,0.363300622,-0.363300622,,
12,0.201388836,0.234190837,-0.234190837,0.360155523,-0.360155523,,
13,0.199690342,0.231355116,-0.231355116,0.358450502,-0.358450502,,
14,0.207165062,0.226071358,-0.226071358,0.351922959,-0.351922959,,
15,0.207249746,0.22203207,-0.22203207,0.347092152,-0.347092152,,
16,0.212951884,0.217723981,-0.217723981,0.341201037,-0.341201037,,
17,0.220985666,0.213411734,-0.213411734,0.335305721,-0.335305721,,
18,0.232079148,0.209888667,-0.209888667,0.331217289,-0.331217289,,
19,0.234918058,0.205685154,-0.205685154,0.325091541,-0.325091541,,
20,0.242983118,0.201768309,-0.201768309,0.320270091,-0.320270091,,
21,0.253942519,0.197754577,-0.197754577,0.314220965,-0.314220965,,
22,0.268440098,0.194123954,-0.194123954,0.308328897,-0.308328897,,
23,0.268115938,0.19162102,-0.19162102,0.304242879,-0.304242879,,
24,0.277574241,0.188337237,-0.188337237,0.29994148,-0.29994148,,
25,0.284086257,0.184883356,-0.184883356,0.29501766,-0.29501766,,
26,0.296627343,0.182304144,-0.182304144,0.291194588,-0.291194588,,
27,0.305948973,0.181029201,-0.181029201,0.287884355,-0.287884355,,
28,0.31146875,0.179574266,-0.179574266,0.284959406,-0.284959406,,
29,0.313078433,0.177706301,-0.177706301,0.282413006,-0.282413006,,
30,0.322450578,0.177036718,-0.177036718,0.281969577,-0.281969577,,
31,0.321414173,0.17697379,-0.17697379,0.282019705,-0.282019705,,
32,0.322088271,0.177329123,-0.177329123,0.282148898,-0.282148898,,
33,0.321126699,0.177718639,-0.177718639,0.282425344,-0.282425344,,
34,0.32070905,0.178197011,-0.178197011,0.283016801,-0.283016801,,
35,0.322866321,0.179264843,-0.179264843,0.284310758,-0.284310758,,
36,0.320481867,0.180001676,-0.180001676,0.28651756,-0.28651756,,
37,0.321371585,0.180343151,-0.180343151,0.287085205,-0.287085205,,
38,0.322809756,0.180574074,-0.180574074,0.287203044,-0.287203044,,
39,0.319301009,0.180265993,-0.180265993,0.287121147,-0.287121147,,
40,0.318852097,0.179960728,-0.179960728,0.286589742,-0.286589742,,
41,0.324474365,0.179826126,-0.179826126,0.286228925,-0.286228925,,
42,0.327647746,0.179823175,-0.179823175,0.285208344,-0.285208344,,
43,0.33490932,0.179598406,-0.179598406,0.283965915,-0.283965915,,
44,0.332543403,0.179711953,-0.179711953,0.283740222,-0.283740222,,
45,0.329791367,0.179649159,-0.179649159,0.283903599,-0.283903599,,
46,0.330448389,0.179930523,-0.179930523,0.283958763,-0.283958763,,
47,0.333594918,0.179730415,-0.179730415,0.28341946,-0.28341946,,
48,0.338715971,0.179347306,-0.179347306,0.280548722,-0.280548722,,
49,0.339075893,0.179550722,-0.179550722,0.281769812,-0.281769812,,
50,0.349218696,0.177823961,-0.177823961,0.277894676,-0.277894676,,
51,0.352343708,0.17676571,-0.17676571,0.276836365,-0.276836365,,
52,0.359533042,0.175996259,-0.175996259,0.276745379,-0.276745379,,
53,0.358336538,0.17605722,-0.17605722,0.276354015,-0.276354015,,
54,0.364410013,0.177060738,-0.177060738,0.276679128,-0.276679128,,
55,0.363425851,0.17719382,-0.17719382,0.277716786,-0.277716786,,
56,0.367993802,0.177133799,-0.177133799,0.276639074,-0.276639074,,
57,0.372776449,0.176864475,-0.176864475,0.27603057,-0.27603057,,
58,0.373064965,0.176914796,-0.176914796,0.274950147,-0.274950147,,
59,0.37616092,0.17648299,-0.17648299,0.274066031,-0.274066031,,
60,0.378482938,0.176540494,-0.176540494,0.27457583,-0.27457583,,
61,0.381502837,0.176611528,-0.176611528,0.274194568,-0.274194568,,
62,0.387841463,0.175386027,-0.175386027,0.272403687,-0.272403687,,
63,0.388244361,0.175960764,-0.175960764,0.272526145,-0.272526145,,
64,0.386774272,0.175442964,-0.175442964,0.272799879,-0.272799879,,
65,0.389360011,0.176222786,-0.176222786,0.273014307,-0.273014307,,
66,0.387245417,0.176110014,-0.176110014,0.272675395,-0.272675395,,
67,0.386381,0.176650554,-0.176650554,0.27298975,-0.27298975,,
68,0.390225232,0.175990939,-0.175990939,0.271877855,-0.271877855,,
69,0.392473072,0.176090151,-0.176090151,0.271864027,-0.271864027,,
70,0.392952859,0.176866531,-0.176866531,0.273092687,-0.273092687,,
71,0.387490451,0.177052051,-0.177052051,0.273956627,-0.273956627,,
72,0.390262425,0.176784098,-0.176784098,0.273575604,-0.273575604,,
73,0.388445437,0.17678839,-0.17678839,0.272788376,-0.272788376,,
74,0.386458665,0.177839562,-0.177839562,0.274291873,-0.274291873,,
75,0.39179951,0.17702353,-0.17702353,0.272345096,-0.272345096,,
76,0.390170068,0.177126527,-0.177126527,0.272448063,-0.272448063,,
77,0.395005643,0.177053794,-0.177053794,0.272488415,-0.272488415,,
