Step,f1,esl,-esl,pesl,-pesl,COR_ESL,COR_PESL
0,0,0.089461468,-0.089461468,0.164667904,-0.164667904,0.78725434,0.930453656
1,0,0.088957421,-0.088957421,0.162052989,-0.162052989,,
2,0,0.088478111,-0.088478111,0.158485875,-0.158485875,,
3,0,0.088174261,-0.088174261,0.156315371,-0.156315371,,
4,0,0.08792381,-0.08792381,0.155000761,-0.155000761,,
5,0.001549487,0.087391384,-0.087391384,0.152898282,-0.152898282,,
6,0.000387522,0.08724618,-0.08724618,0.152700722,-0.152700722,,
7,0.00232333,0.086507745,-0.086507745,0.151648268,-0.151648268,,
8,0.00232288,0.08619123,-0.08619123,0.150023371,-0.150023371,,
9,0.005026096,0.085544609,-0.085544609,0.149568662,-0.149568662,,
10,0.00848929,0.08502464,-0.08502464,0.1482113,-0.1482113,,
11,0.015381656,0.084293634,-0.084293634,0.148474678,-0.148474678,,
12,0.024870858,0.083643705,-0.083643705,0.14683038,-0.14683038,,
13,0.038001135,0.082922786,-0.082922786,0.146126896,-0.146126896,,
14,0.049480632,0.082070537,-0.082070537,0.144262835,-0.144262835,,
15,0.060424086,0.081442006,-0.081442006,0.144820586,-0.144820586,,
16,0.075864621,0.080345288,-0.080345288,0.142084002,-0.142084002,,
17,0.087437734,0.07977929,-0.07977929,0.141744792,-0.141744792,,
18,0.101775572,0.078705013,-0.078705013,0.139222562,-0.139222562,,
19,0.113871247,0.078413919,-0.078413919,0.139576927,-0.139576927,,
20,0.120325185,0.077507198,-0.077507198,0.13734439,-0.13734439,,
21,0.132882059,0.077405855,-0.077405855,0.137591928,-0.137591928,,
22,0.137955531,0.076882489,-0.076882489,0.136841789,-0.136841789,,
23,0.166753873,0.076181516,-0.076181516,0.135879144,-0.135879144,,
24,0.163557097,0.07593976,-0.07593976,0.135358259,-0.135358259,,
25,0.183564916,0.075373672,-0.075373672,0.133693114,-0.133693114,,
26,0.196610138,0.074740551,-0.074740551,0.132170305,-0.132170305,,
27,0.211390272,0.074418217,-0.074418217,0.131411821,-0.131411821,,
28,0.22354494,0.074155778,-0.074155778,0.130538777,-0.130538777,,
29,0.24162367,0.07431192,-0.07431192,0.131218299,-0.131218299,,
30,0.265597969,0.074049324,-0.074049324,0.130345121,-0.130345121,,
31,0.266171426,0.074400276,-0.074400276,0.130451828,-0.130451828,,
32,0.278253019,0.074709855,-0.074709855,0.131092861,-0.131092861,,
33,0.283201367,0.075092837,-0.075092837,0.131632879,-0.131632879,,
34,0.304110318,0.074438833,-0.074438833,0.130054265,-0.130054265,,
35,0.305987895,0.075245284,-0.075245284,0.131453872,-0.131453872,,
36,0.316513091,0.07544712,-0.07544712,0.131306782,-0.131306782,,
37,0.322431773,0.075493693,-0.075493693,0.131301016,-0.131301016,,
38,0.328690737,0.075824052,-0.075824052,0.131474376,-0.131474376,,
39,0.336734623,0.076242276,-0.076242276,0.131962374,-0.131962374,,
40,0.338811904,0.076565862,-0.076565862,0.132495314,-0.132495314,,
41,0.342152506,0.076386973,-0.076386973,0.131793067,-0.131793067,,
42,0.338764668,0.078091428,-0.078091428,0.134457007,-0.134457007,,
43,0.344016016,0.078216694,-0.078216694,0.134198487,-0.134198487,,
44,0.35500744,0.077026911,-0.077026911,0.132066652,-0.132066652,,
45,0.35655278,0.077151112,-0.077151112,0.132103622,-0.132103622,,
46,0.361039877,0.077117294,-0.077117294,0.131563902,-0.131563902,,
47,0.358868986,0.077531032,-0.077531032,0.132082298,-0.132082298,,
48,0.364684612,0.077027097,-0.077027097,0.13086313,-0.13086313,,
49,0.369212389,0.077388063,-0.077388063,0.131293863,-0.131293863,,
50,0.367990494,0.077863187,-0.077863187,0.131734103,-0.131734103,,
51,0.377023965,0.077189535,-0.077189535,0.130571976,-0.130571976,,
52,0.378907591,0.076983221,-0.076983221,0.130400553,-0.130400553,,
53,0.377623975,0.077482685,-0.077482685,0.130934909,-0.130934909,,
54,0.378700942,0.07752724,-0.07752724,0.130665451,-0.130665451,,
55,0.385690957,0.076993197,-0.076993197,0.129765064,-0.129765064,,
56,0.386379391,0.076771908,-0.076771908,0.129473969,-0.129473969,,
57,0.386628181,0.077191502,-0.077191502,0.129841238,-0.129841238,,
58,0.384420872,0.077523716,-0.077523716,0.130208343,-0.130208343,,
59,0.389661074,0.077187121,-0.077187121,0.129575193,-0.129575193,,
60,0.386342764,0.077738449,-0.077738449,0.130370736,-0.130370736,,
61,0.389965743,0.077724233,-0.077724233,0.130199522,-0.130199522,,
62,0.402828425,0.076309495,-0.076309495,0.128052071,-0.128052071,,
63,0.403275281,0.076520503,-0.076520503,0.128280535,-0.128280535,,
64,0.406718045,0.076332323,-0.076332323,0.127917901,-0.127917901,,
65,0.411917955,0.075974375,-0.075974375,0.127141267,-0.127141267,,
66,0.418241441,0.075231858,-0.075231858,0.125945181,-0.125945181,,
67,0.416957885,0.075851575,-0.075851575,0.126756787,-0.126756787,,
68,0.413219362,0.07659515,-0.07659515,0.127692267,-0.127692267,,
69,0.413909495,0.076494172,-0.076494172,0.127556399,-0.127556399,,
70,0.408287287,0.076962538,-0.076962538,0.128321335,-0.128321335,,
71,0.408647895,0.07727816,-0.07727816,0.128863737,-0.128863737,,
72,0.407436371,0.077426448,-0.077426448,0.128977135,-0.128977135,,
73,0.410078347,0.077244952,-0.077244952,0.128743321,-0.128743321,,
74,0.410124242,0.076911807,-0.076911807,0.127904251,-0.127904251,,
75,0.407399118,0.078088015,-0.078088015,0.129760832,-0.129760832,,
76,0.413092017,0.077210002,-0.077210002,0.12828967,-0.12828967,,
77,0.419408768,0.076655678,-0.076655678,0.127177089,-0.127177089,,
78,0.418464929,0.077027656,-0.077027656,0.12772353,-0.12772353,,
79,0.425598145,0.076284699,-0.076284699,0.126300201,-0.126300201,,
80,0.429111093,0.075921364,-0.075921364,0.125570536,-0.125570536,,
81,0.432815909,0.075581849,-0.075581849,0.124899544,-0.124899544,,
82,0.430140883,0.0759525,-0.0759525,0.125584215,-0.125584215,,
83,0.430217028,0.07605312,-0.07605312,0.125597596,-0.125597596,,
84,0.431953907,0.075935781,-0.075935781,0.125515148,-0.125515148,,
85,0.42695877,0.07627961,-0.07627961,0.126138106,-0.126138106,,
86,0.429283351,0.075956285,-0.075956285,0.125483319,-0.125483319,,
87,0.429914713,0.075814597,-0.075814597,0.125289306,-0.125289306,,
88,0.438501447,0.074842624,-0.074842624,0.123898648,-0.123898648,,
89,0.433005571,0.075604349,-0.075604349,0.12478248,-0.12478248,,
90,0.437348545,0.075414434,-0.075414434,0.124592572,-0.124592572,,
91,0.431243062,0.076244019,-0.076244019,0.125701278,-0.125701278,,
92,0.433671176,0.075748034,-0.075748034,0.124664478,-0.124664478,,
93,0.433112532,0.075683475,-0.075683475,0.124791823,-0.124791823,,
94,0.436123312,0.075518683,-0.075518683,0.124452591,-0.124452591,,
95,0.432408482,0.075324863,-0.075324863,0.124258779,-0.124258779,,
96,0.436789185,0.075102307,-0.075102307,0.123704754,-0.123704754,,
97,0.436411679,0.075362124,-0.075362124,0.124139011,-0.124139011,,
98,0.434390068,0.075813033,-0.075813033,0.124869056,-0.124869056,,
99,0.439683557,0.07533212,-0.07533212,0.124196239,-0.124196239,,
