Step,f1,esl,-esl,pesl,-pesl,COR_ESL,COR_PESL
0,0.01590376,0.109512128,-0.109512128,0.183511108,-0.183511108,0.764687409,0.914129333
1,0.00647376,0.108910114,-0.108910114,0.184421986,-0.184421986,,
2,0.001618081,0.109259516,-0.109259516,0.185166031,-0.185166031,,
3,0.002023431,0.107291833,-0.107291833,0.180742711,-0.180742711,,
4,0.023610786,0.104295366,-0.104295366,0.175268635,-0.175268635,,
5,0.087327331,0.100878268,-0.100878268,0.170009777,-0.170009777,,
6,0.097713053,0.097269759,-0.097269759,0.165896967,-0.165896967,,
7,0.120075792,0.094043665,-0.094043665,0.160697579,-0.160697579,,
8,0.136792421,0.091643706,-0.091643706,0.157749474,-0.157749474,,
9,0.133274451,0.089882903,-0.089882903,0.155813262,-0.155813262,,
10,0.130531937,0.088189684,-0.088189684,0.154163912,-0.154163912,,
11,0.127544075,0.085950427,-0.085950427,0.152472794,-0.152472794,,
12,0.120393649,0.084328204,-0.084328204,0.151793361,-0.151793361,,
13,0.129460171,0.083031252,-0.083031252,0.149729013,-0.149729013,,
14,0.145344764,0.082066163,-0.082066163,0.148281559,-0.148281559,,
15,0.130279154,0.081746727,-0.081746727,0.147852495,-0.147852495,,
16,0.123121642,0.081838734,-0.081838734,0.148097992,-0.148097992,,
17,0.102991648,0.082331009,-0.082331009,0.148064017,-0.148064017,,
18,0.100122675,0.082742669,-0.082742669,0.148651123,-0.148651123,,
19,0.070482358,0.083352283,-0.083352283,0.149611533,-0.149611533,,
20,0.065065041,0.083215393,-0.083215393,0.149978951,-0.149978951,,
21,0.107011944,0.080437846,-0.080437846,0.14514038,-0.14514038,,
22,0.191611245,0.078365482,-0.078365482,0.140415013,-0.140415013,,
23,0.206682861,0.078383207,-0.078383207,0.138349801,-0.138349801,,
24,0.223269716,0.078386202,-0.078386202,0.139142126,-0.139142126,,
25,0.231865525,0.078412764,-0.078412764,0.138795942,-0.138795942,,
26,0.247742981,0.078197956,-0.078197956,0.138164535,-0.138164535,,
27,0.249682575,0.078093089,-0.078093089,0.137993917,-0.137993917,,
28,0.250575155,0.078059942,-0.078059942,0.13778536,-0.13778536,,
29,0.254191637,0.077831,-0.077831,0.136328593,-0.136328593,,
30,0.261029392,0.077894777,-0.077894777,0.135909989,-0.135909989,,
31,0.27247411,0.077912912,-0.077912912,0.135511532,-0.135511532,,
32,0.275616944,0.077854238,-0.077854238,0.135715961,-0.135715961,,
33,0.27719295,0.078194194,-0.078194194,0.135573566,-0.135573566,,
34,0.278485864,0.078155421,-0.078155421,0.13520591,-0.13520591,,
35,0.28456527,0.078205675,-0.078205675,0.134883434,-0.134883434,,
36,0.290951163,0.078088284,-0.078088284,0.134612545,-0.134612545,,
37,0.294048965,0.077855691,-0.077855691,0.134073004,-0.134073004,,
38,0.298801661,0.078019194,-0.078019194,0.133425266,-0.133425266,,
39,0.30745694,0.078076482,-0.078076482,0.133329064,-0.133329064,,
40,0.316223234,0.078076042,-0.078076042,0.133394405,-0.133394405,,
41,0.306463569,0.078870974,-0.078870974,0.134211257,-0.134211257,,
42,0.304654926,0.079546772,-0.079546772,0.134821281,-0.134821281,,
43,0.303925067,0.07988815,-0.07988815,0.135535404,-0.135535404,,
44,0.294191182,0.080655999,-0.080655999,0.136281312,-0.136281312,,
45,0.298830181,0.080945,-0.080945,0.136263356,-0.136263356,,
46,0.297249615,0.081280261,-0.081280261,0.136357442,-0.136357442,,
47,0.296322316,0.081552312,-0.081552312,0.136826828,-0.136826828,,
48,0.281499416,0.082070686,-0.082070686,0.137476757,-0.137476757,,
49,0.284870535,0.082218774,-0.082218774,0.137668684,-0.137668684,,
50,0.285664707,0.08234781,-0.08234781,0.137556553,-0.137556553,,
51,0.280432463,0.082327791,-0.082327791,0.137755781,-0.137755781,,
52,0.277513623,0.082534999,-0.082534999,0.138204172,-0.138204172,,
53,0.272505194,0.082769707,-0.082769707,0.138131931,-0.138131931,,
54,0.272553414,0.082671568,-0.082671568,0.137858391,-0.137858391,,
55,0.272236675,0.082641616,-0.082641616,0.138266951,-0.138266951,,
56,0.272743106,0.082651719,-0.082651719,0.138189346,-0.138189346,,
57,0.272631884,0.082508162,-0.082508162,0.138001919,-0.138001919,,
58,0.2702609,0.082524724,-0.082524724,0.138215825,-0.138215825,,
59,0.269720942,0.082309529,-0.082309529,0.137605965,-0.137605965,,
60,0.271029592,0.082730144,-0.082730144,0.138706267,-0.138706267,,
61,0.273676962,0.081850827,-0.081850827,0.13703765,-0.13703765,,
62,0.266734958,0.082306713,-0.082306713,0.138151288,-0.138151288,,
63,0.267995179,0.081606947,-0.081606947,0.137122631,-0.137122631,,
64,0.27049461,0.081219405,-0.081219405,0.136757016,-0.136757016,,
65,0.268271685,0.081612602,-0.081612602,0.137588724,-0.137588724,,
66,0.271540433,0.080930293,-0.080930293,0.136467904,-0.136467904,,
67,0.270786285,0.080954939,-0.080954939,0.136580259,-0.136580259,,
68,0.270194948,0.080857001,-0.080857001,0.136504248,-0.136504248,,
69,0.271505803,0.080942594,-0.080942594,0.136677533,-0.136677533,,
70,0.272411346,0.08088018,-0.08088018,0.136571288,-0.136571288,,
71,0.266208053,0.081318893,-0.081318893,0.13740465,-0.13740465,,
72,0.266598016,0.081296079,-0.081296079,0.136899471,-0.136899471,,
73,0.26327464,0.081653506,-0.081653506,0.13727881,-0.13727881,,
74,0.26593554,0.081984542,-0.081984542,0.138048381,-0.138048381,,
75,0.265659839,0.081777103,-0.081777103,0.137468204,-0.137468204,,
76,0.267145514,0.081711411,-0.081711411,0.137402505,-0.137402505,,
77,0.266347945,0.081968024,-0.081968024,0.138426512,-0.138426512,,
78,0.263220906,0.081557088,-0.081557088,0.137226254,-0.137226254,,
79,0.269472212,0.082213603,-0.082213603,0.138650164,-0.138650164,,
80,0.261611968,0.081929855,-0.081929855,0.137708649,-0.137708649,,
81,0.264074326,0.082841612,-0.082841612,0.140177131,-0.140177131,,
82,0.262878597,0.081884935,-0.081884935,0.137839139,-0.137839139,,
83,0.270904124,0.082322396,-0.082322396,0.138824731,-0.138824731,,
84,0.265477568,0.081669822,-0.081669822,0.137755588,-0.137755588,,
85,0.263470978,0.082703188,-0.082703188,0.139161676,-0.139161676,,
86,0.259360045,0.082280524,-0.082280524,0.138497829,-0.138497829,,
87,0.26495868,0.08284878,-0.08284878,0.139109924,-0.139109924,,
88,0.262355477,0.082971953,-0.082971953,0.139518142,-0.139518142,,
89,0.258914948,0.083084546,-0.083084546,0.139849991,-0.139849991,,
90,0.260023445,0.083664097,-0.083664097,0.140758425,-0.140758425,,
91,0.258708119,0.08338739,-0.08338739,0.140218616,-0.140218616,,
92,0.263042331,0.083515957,-0.083515957,0.14047876,-0.14047876,,
93,0.261221707,0.08291468,-0.08291468,0.139504731,-0.139504731,,
94,0.261309892,0.083578251,-0.083578251,0.140562952,-0.140562952,,
95,0.257836163,0.083272792,-0.083272792,0.139687434,-0.139687434,,
96,0.264233053,0.083788991,-0.083788991,0.140357107,-0.140357107,,
97,0.25959903,0.082844868,-0.082844868,0.138338625,-0.138338625,,
98,0.267515868,0.084186241,-0.084186241,0.141280591,-0.141280591,,
99,0.270871937,0.082774572,-0.082774572,0.138465658,-0.138465658,,
