Step,f1,esl,-esl,pesl,-pesl,COR_ESL,COR_PESL
0,0.339572132,0.439398855,-0.439398855,0.586160541,-0.586160541,0.604688568,0.780530009
1,0.339572132,0.439146608,-0.439146608,0.585908353,-0.585908353,,
2,0.341354668,0.438923299,-0.438923299,0.585288942,-0.585288942,,
3,0.341354668,0.438763231,-0.438763231,0.585128844,-0.585128844,,
4,0.339723527,0.438669264,-0.438669264,0.585232913,-0.585232913,,
5,0.3404634,0.438603789,-0.438603789,0.585167408,-0.585167408,,
6,0.3404634,0.438519984,-0.438519984,0.585083663,-0.585083663,,
7,0.339723527,0.438390553,-0.438390553,0.584954262,-0.584954262,,
8,0.339572132,0.438322008,-0.438322008,0.585083783,-0.585083783,,
9,0.339723527,0.438228756,-0.438228756,0.584792495,-0.584792495,,
10,0.339723527,0.438166767,-0.438166767,0.584928453,-0.584928453,,
11,0.339572132,0.438076556,-0.438076556,0.584838271,-0.584838271,,
12,0.3404634,0.438008845,-0.438008845,0.584572494,-0.584572494,,
13,0.342245936,0.437934816,-0.437934816,0.584102392,-0.584102392,,
14,0.342245936,0.437870115,-0.437870115,0.584037602,-0.584037602,,
15,0.342245936,0.437822372,-0.437822372,0.583989918,-0.583989918,,
16,0.342245936,0.437787503,-0.437787503,0.583955109,-0.583955109,,
17,0.342245936,0.437789202,-0.437789202,0.583956778,-0.583956778,,
18,0.342245936,0.437773496,-0.437773496,0.583941102,-0.583941102,,
19,0.342245936,0.437821329,-0.437821329,0.583988845,-0.583988845,,
20,0.342245936,0.437861681,-0.437861681,0.584029198,-0.584029198,,
21,0.341354668,0.437888116,-0.437888116,0.584253728,-0.584253728,,
22,0.341354668,0.437915713,-0.437915713,0.584281266,-0.584281266,,
23,0.341354668,0.437938094,-0.437938094,0.584303617,-0.584303617,,
24,0.341354668,0.437959373,-0.437959373,0.584325016,-0.584325016,,
25,0.341354668,0.438081831,-0.438081831,0.584447443,-0.584447443,,
26,0.341354668,0.438173532,-0.438173532,0.584539115,-0.584539115,,
27,0.341354668,0.438278079,-0.438278079,0.584643602,-0.584643602,,
28,0.341354668,0.438332856,-0.438332856,0.584698498,-0.584698498,,
29,0.341354668,0.43839553,-0.43839553,0.584761143,-0.584761143,,
30,0.3404634,0.438449174,-0.438449174,0.585012853,-0.585012853,,
31,0.3404634,0.438529789,-0.438529789,0.585093379,-0.585093379,,
32,0.3404634,0.438579798,-0.438579798,0.585143387,-0.585143387,,
33,0.3404634,0.438644111,-0.438644111,0.58520776,-0.58520776,,
34,0.3404634,0.438690871,-0.438690871,0.58525461,-0.58525461,,
35,0.339572132,0.438716203,-0.438716203,0.585477948,-0.585477948,,
36,0.339572132,0.43877247,-0.43877247,0.585534215,-0.585534215,,
37,0.339572132,0.438803971,-0.438803971,0.585565627,-0.585565627,,
38,0.338680863,0.438841581,-0.438841581,0.585801423,-0.585801423,,
39,0.338680863,0.438863516,-0.438863516,0.585823298,-0.585823298,,
40,0.338680863,0.438898593,-0.438898593,0.585858345,-0.585858345,,
41,0.338680863,0.438944757,-0.438944757,0.585904539,-0.585904539,,
42,0.338680863,0.438959926,-0.438959926,0.585919678,-0.585919678,,
43,0.338680863,0.438980877,-0.438980877,0.585940659,-0.585940659,,
44,0.338680863,0.439000934,-0.439000934,0.585960746,-0.585960746,,
45,0.338831872,0.4390302,-0.4390302,0.585989952,-0.585989952,,
46,0.338831872,0.439044207,-0.439044207,0.586003959,-0.586003959,,
47,0.338831872,0.439055532,-0.439055532,0.586015284,-0.586015284,,
48,0.338831872,0.439070255,-0.439070255,0.586030006,-0.586030006,,
49,0.338831872,0.439079106,-0.439079106,0.585840762,-0.585840762,,
50,0.338831872,0.439095229,-0.439095229,0.585856915,-0.585856915,,
51,0.338982999,0.439112455,-0.439112455,0.5858742,-0.5858742,,
52,0.338982999,0.439118713,-0.439118713,0.585880458,-0.585880458,,
53,0.338982999,0.439122081,-0.439122081,0.585883796,-0.585883796,,
54,0.339723527,0.43912977,-0.43912977,0.585891485,-0.585891485,,
55,0.339723527,0.439135224,-0.439135224,0.585896969,-0.585896969,,
56,0.339723527,0.439138621,-0.439138621,0.585900366,-0.585900366,,
57,0.339723527,0.439149022,-0.439149022,0.585910678,-0.585910678,,
58,0.339723527,0.439154238,-0.439154238,0.585915983,-0.585915983,,
59,0.339723527,0.43916297,-0.43916297,0.585924745,-0.585924745,,
60,0.339723527,0.439144492,-0.439144492,0.585906148,-0.585906148,,
61,0.339723527,0.439139366,-0.439139366,0.585901082,-0.585901082,,
62,0.339723527,0.439131796,-0.439131796,0.585695446,-0.585695446,,
63,0.339723527,0.439130038,-0.439130038,0.585693657,-0.585693657,,
64,0.339723527,0.439136982,-0.439136982,0.585700572,-0.585700572,,
65,0.339723527,0.439138263,-0.439138263,0.585701883,-0.585701883,,
66,0.339723527,0.439149708,-0.439149708,0.585713387,-0.585713387,,
67,0.339723527,0.439147055,-0.439147055,0.585710645,-0.585710645,,
