Step,f1,esl,-esl,pesl,-pesl,COR_ESL,COR_PESL
0,0.52049911,0.228481635,-0.228481635,0.336506307,-0.336506307,0.864419726,0.928038026
1,0.399999946,0.276670754,-0.276670754,0.410158396,-0.410158396,,
2,0.529411733,0.213056281,-0.213056281,0.317222953,-0.317222953,,
3,0.559999943,0.181778014,-0.181778014,0.278228641,-0.278228641,,
4,0.649999976,0.136398703,-0.136398703,0.210472763,-0.210472763,,
5,0.538759649,0.191045076,-0.191045076,0.291353732,-0.291353732,,
6,0.617059827,0.17504704,-0.17504704,0.264553189,-0.264553189,,
7,0.627240062,0.178272843,-0.178272843,0.264692605,-0.264692605,,
8,0.634751737,0.167367563,-0.167367563,0.249157697,-0.249157697,,
9,0.705454469,0.122972831,-0.122972831,0.18701604,-0.18701604,,
10,0.684309959,0.131228477,-0.131228477,0.194500074,-0.194500074,,
11,0.775362253,0.107460648,-0.107460648,0.156071752,-0.156071752,,
12,0.733212292,0.112531863,-0.112531863,0.166544199,-0.166544199,,
13,0.739676833,0.10979861,-0.10979861,0.163039356,-0.163039356,,
14,0.782764792,0.097675346,-0.097675346,0.14320004,-0.14320004,,
15,0.825783849,0.086863361,-0.086863361,0.125443608,-0.125443608,,
16,0.745166957,0.111713305,-0.111713305,0.168812066,-0.168812066,,
17,0.862129092,0.070060298,-0.070060298,0.100152902,-0.100152902,,
18,0.765734196,0.121535115,-0.121535115,0.174004257,-0.174004257,,
19,0.804920793,0.095344156,-0.095344156,0.137782425,-0.137782425,,
20,0.823117316,0.086368583,-0.086368583,0.124177217,-0.124177217,,
21,0.852173805,0.066345222,-0.066345222,0.098752625,-0.098752625,,
22,0.746527731,0.134599075,-0.134599075,0.190926254,-0.190926254,,
23,0.802083313,0.102482975,-0.102482975,0.146464452,-0.146464452,,
24,0.805555582,0.10469956,-0.10469956,0.147909448,-0.147909448,,
25,0.836805522,0.089465179,-0.089465179,0.125730604,-0.125730604,,
26,0.81249994,0.102045275,-0.102045275,0.143711939,-0.143711939,,
27,0.847222149,0.074286208,-0.074286208,0.108236827,-0.108236827,,
28,0.822916627,0.091663823,-0.091663823,0.131015673,-0.131015673,,
29,0.847222149,0.0813917,-0.0813917,0.115342312,-0.115342312,,
30,0.822916627,0.097097419,-0.097097419,0.136449262,-0.136449262,,
31,0.854166627,0.08099106,-0.08099106,0.113398448,-0.113398448,,
32,0.822916627,0.098073922,-0.098073922,0.137425765,-0.137425765,,
33,0.871527731,0.074097835,-0.074097835,0.102647215,-0.102647215,,
34,0.840277731,0.08888372,-0.08888372,0.124377556,-0.124377556,,
35,0.868055522,0.074843541,-0.074843541,0.104164518,-0.104164518,,
36,0.868055522,0.070964783,-0.070964783,0.100285783,-0.100285783,,
37,0.864583254,0.071085766,-0.071085766,0.101178356,-0.101178356,,
38,0.878472149,0.066813767,-0.066813767,0.093819939,-0.093819939,,
39,0.854166627,0.078574397,-0.078574397,0.110981807,-0.110981807,,
40,0.854166627,0.082706831,-0.082706831,0.115114227,-0.115114227,,
41,0.840277731,0.087267131,-0.087267131,0.122760959,-0.122760959,,
42,0.847222149,0.083763286,-0.083763286,0.117713898,-0.117713898,,
43,0.819444418,0.101686165,-0.101686165,0.141809642,-0.141809642,,
44,0.81249994,0.115851015,-0.115851015,0.157517672,-0.157517672,,
45,0.805555582,0.11799264,-0.11799264,0.161202505,-0.161202505,,
46,0.784722149,0.13246578,-0.13246578,0.180305287,-0.180305287,,
47,0.798611045,0.122941852,-0.122941852,0.167694941,-0.167694941,,
48,0.802083313,0.116705194,-0.116705194,0.160686672,-0.160686672,,
49,0.819444418,0.113801226,-0.113801226,0.153924689,-0.153924689,,
50,0.829861045,0.101164937,-0.101164937,0.138973564,-0.138973564,,
51,0.81249994,0.115219235,-0.115219235,0.156885907,-0.156885907,,
52,0.791666627,0.127605543,-0.127605543,0.173901841,-0.173901841,,
53,0.777777672,0.133649483,-0.133649483,0.1830322,-0.1830322,,
54,0.74999994,0.153478682,-0.153478682,0.209034249,-0.209034249,,
55,0.739583254,0.158966243,-0.158966243,0.216836616,-0.216836616,,
56,0.736111045,0.162868321,-0.162868321,0.221510321,-0.221510321,,
57,0.729166627,0.171972573,-0.171972573,0.232157737,-0.232157737,,
58,0.711805522,0.183003724,-0.183003724,0.247046918,-0.247046918,,
59,0.715277731,0.181124762,-0.181124762,0.244396374,-0.244396374,,
60,0.708333313,0.189424023,-0.189424023,0.254238844,-0.254238844,,
61,0.711805522,0.183555305,-0.183555305,0.247598484,-0.247598484,,
62,0.711805522,0.17833294,-0.17833294,0.242376149,-0.242376149,,
63,0.72222209,0.174757704,-0.174757704,0.236486122,-0.236486122,,
64,0.732638836,0.168450177,-0.168450177,0.227863729,-0.227863729,,
65,0.736111045,0.166449368,-0.166449368,0.225091323,-0.225091323,,
66,0.746527731,0.161113426,-0.161113426,0.21744056,-0.21744056,,
67,0.743055522,0.163503438,-0.163503438,0.220602199,-0.220602199,,
68,0.732638836,0.167646185,-0.167646185,0.227059782,-0.227059782,,
69,0.732638836,0.170375109,-0.170375109,0.229788706,-0.229788706,,
70,0.732638836,0.169183701,-0.169183701,0.228597268,-0.228597268,,
71,0.736111045,0.168607175,-0.168607175,0.227249146,-0.227249146,,
72,0.732638836,0.163937509,-0.163937509,0.223351076,-0.223351076,,
73,0.732638836,0.167036161,-0.167036161,0.226449758,-0.226449758,,
74,0.732638836,0.172228992,-0.172228992,0.231642589,-0.231642589,,
75,0.729166627,0.17761071,-0.17761071,0.237795889,-0.237795889,,
76,0.729166627,0.176130593,-0.176130593,0.236315802,-0.236315802,,
77,0.711805522,0.182036355,-0.182036355,0.246079549,-0.246079549,,
78,0.725694358,0.172046915,-0.172046915,0.233003691,-0.233003691,,
79,0.753472149,0.160429165,-0.160429165,0.215213105,-0.215213105,,
80,0.74999994,0.159595162,-0.159595162,0.215150714,-0.215150714,,
81,0.746527731,0.162720889,-0.162720889,0.219048053,-0.219048053,,
82,0.753472149,0.157521933,-0.157521933,0.212305889,-0.212305889,,
83,0.743055522,0.163660154,-0.163660154,0.220758915,-0.220758915,,
84,0.71874994,0.179026142,-0.179026142,0.241526127,-0.241526127,,
