Step,f1,esl,-esl,pesl,-pesl,COR_ESL,COR_PESL
0,0.109756038,0.100129507,-0.100129507,0.165421352,-0.165421352,0.839883394,0.900345867
1,0.102880612,0.099067368,-0.099067368,0.164101169,-0.164101169,,
2,0.09704636,0.098612905,-0.098612905,0.163904756,-0.163904756,,
3,0.092243142,0.098076962,-0.098076962,0.163626894,-0.163626894,,
4,0.09603335,0.097541377,-0.097541377,0.162575155,-0.162575155,,
5,0.117886126,0.097993188,-0.097993188,0.162252754,-0.162252754,,
6,0.12825647,0.098890826,-0.098890826,0.163666531,-0.163666531,,
7,0.134920582,0.099600576,-0.099600576,0.164634377,-0.164634377,,
8,0.122772224,0.099602066,-0.099602066,0.165152013,-0.165152013,,
9,0.133064464,0.099430263,-0.099430263,0.162657544,-0.162657544,,
10,0.141732231,0.099417612,-0.099417612,0.162644908,-0.162644908,,
11,0.158415794,0.098700166,-0.098700166,0.161669388,-0.161669388,,
12,0.162376195,0.096980982,-0.096980982,0.158143699,-0.158143699,,
13,0.179640681,0.09519136,-0.09519136,0.15480566,-0.15480566,,
14,0.193158895,0.093135267,-0.093135267,0.151201159,-0.151201159,,
15,0.209255502,0.091045186,-0.091045186,0.149111062,-0.149111062,,
16,0.205645114,0.088967815,-0.088967815,0.14651756,-0.14651756,,
17,0.216768876,0.087229177,-0.087229177,0.143746614,-0.143746614,,
18,0.230452642,0.086216576,-0.086216576,0.142475948,-0.142475948,,
19,0.232653022,0.085530408,-0.085530408,0.141531706,-0.141531706,,
20,0.247967437,0.085119143,-0.085119143,0.141120464,-0.141120464,,
21,0.248472437,0.084744312,-0.084744312,0.13997142,-0.13997142,,
22,0.253061205,0.084145248,-0.084145248,0.13911429,-0.13911429,,
23,0.250513285,0.083522633,-0.083522633,0.138233602,-0.138233602,,
24,0.274590135,0.082756013,-0.082756013,0.136950821,-0.136950821,,
25,0.270833284,0.081788756,-0.081788756,0.135725498,-0.135725498,,
26,0.266949117,0.081012562,-0.081012562,0.13443318,-0.13443318,,
27,0.276595712,0.080254585,-0.080254585,0.132900983,-0.132900983,,
28,0.276008457,0.079972088,-0.079972088,0.132102355,-0.132102355,,
29,0.274841398,0.079776146,-0.079776146,0.131906405,-0.131906405,,
30,0.266094357,0.079611182,-0.079611182,0.131741434,-0.131741434,,
31,0.270386249,0.079609655,-0.079609655,0.131739914,-0.131739914,,
32,0.266094357,0.079436921,-0.079436921,0.131825238,-0.131825238,,
33,0.2640692,0.079398528,-0.079398528,0.132302999,-0.132302999,,
34,0.252723277,0.079397865,-0.079397865,0.132560417,-0.132560417,,
35,0.252173871,0.079544351,-0.079544351,0.133223012,-0.133223012,,
36,0.248365968,0.079336353,-0.079336353,0.133273095,-0.133273095,,
37,0.245076537,0.079357125,-0.079357125,0.133035809,-0.133035809,,
38,0.241228014,0.079335086,-0.079335086,0.133271843,-0.133271843,,
39,0.245076537,0.079274341,-0.079274341,0.133985296,-0.133985296,,
40,0.251101285,0.078908369,-0.078908369,0.132845119,-0.132845119,,
41,0.244988829,0.078866236,-0.078866236,0.133319139,-0.133319139,,
42,0.237668097,0.078870319,-0.078870319,0.134097427,-0.134097427,,
43,0.234234184,0.078787163,-0.078787163,0.132981986,-0.132981986,,
44,0.236607105,0.078619771,-0.078619771,0.133588791,-0.133588791,,
45,0.235033199,0.078448623,-0.078448623,0.13290152,-0.13290152,,
46,0.233183816,0.078571327,-0.078571327,0.134056509,-0.134056509,,
47,0.233707845,0.078560278,-0.078560278,0.134303525,-0.134303525,,
48,0.227272674,0.078418814,-0.078418814,0.133645922,-0.133645922,,
49,0.234762937,0.078312814,-0.078312814,0.133539915,-0.133539915,,
50,0.235827625,0.078223191,-0.078223191,0.133450285,-0.133450285,,
51,0.236363605,0.078109197,-0.078109197,0.133852437,-0.133852437,,
52,0.229357764,0.078155875,-0.078155875,0.133899137,-0.133899137,,
53,0.22883293,0.078120254,-0.078120254,0.134379655,-0.134379655,,
54,0.223234594,0.07800404,-0.07800404,0.134005338,-0.134005338,,
55,0.223234594,0.077860303,-0.077860303,0.134119689,-0.134119689,,
56,0.223744258,0.077805623,-0.077805623,0.133290797,-0.133290797,,
57,0.223234594,0.077802159,-0.077802159,0.132513106,-0.132513106,,
58,0.227272674,0.077811271,-0.077811271,0.132780299,-0.132780299,,
59,0.23181814,0.077821925,-0.077821925,0.133049041,-0.133049041,,
60,0.219178051,0.078055158,-0.078055158,0.133540332,-0.133540332,,
61,0.230769187,0.077894419,-0.077894419,0.13312152,-0.13312152,,
62,0.234234184,0.077789985,-0.077789985,0.133275151,-0.133275151,,
63,0.238202214,0.077785224,-0.077785224,0.133012325,-0.133012325,,
64,0.237136424,0.077863961,-0.077863961,0.133091077,-0.133091077,,
65,0.233707845,0.077960655,-0.077960655,0.13267161,-0.13267161,,
66,0.229729712,0.078000978,-0.078000978,0.133228064,-0.133228064,,
67,0.224215224,0.077957533,-0.077957533,0.133700788,-0.133700788,,
68,0.219239339,0.07797385,-0.07797385,0.133717105,-0.133717105,,
69,0.215246588,0.078009918,-0.078009918,0.133237019,-0.133237019,,
70,0.210290775,0.077947289,-0.077947289,0.133432463,-0.133432463,,
71,0.211235926,0.077819422,-0.077819422,0.133562654,-0.133562654,,
72,0.213808417,0.077613614,-0.077613614,0.133356854,-0.133356854,,
73,0.22857137,0.077537239,-0.077537239,0.132764339,-0.132764339,,
74,0.22857137,0.077476718,-0.077476718,0.132187679,-0.132187679,,
75,0.229074851,0.077468485,-0.077468485,0.132437512,-0.132437512,,
76,0.229580536,0.077423349,-0.077423349,0.13187623,-0.13187623,,
77,0.22807014,0.077424891,-0.077424891,0.132135838,-0.132135838,,
78,0.22807014,0.077517152,-0.077517152,0.132486179,-0.132486179,,
79,0.22757107,0.077502318,-0.077502318,0.13221328,-0.13221328,,
80,0.219298199,0.077381559,-0.077381559,0.132092521,-0.132092521,,
81,0.218818352,0.077304997,-0.077304997,0.133564383,-0.133564383,,
82,0.217391253,0.077233389,-0.077233389,0.132718578,-0.132718578,,
