Step,f1,esl,-esl,pesl,-pesl,COR_ESL,COR_PESL
0,0,0.070333295,-0.070333295,0.129178762,-0.129178762,-0.028946974,0.551207831
1,0,0.070755444,-0.070755444,0.132675961,-0.132675961,,
2,0,0.071076393,-0.071076393,0.127755329,-0.127755329,,
3,0,0.07073091,-0.07073091,0.126641065,-0.126641065,,
4,0,0.070564903,-0.070564903,0.132625192,-0.132625192,,
5,0,0.070341639,-0.070341639,0.133310452,-0.133310452,,
6,0,0.070615493,-0.070615493,0.134562761,-0.134562761,,
7,0,0.070745118,-0.070745118,0.134412825,-0.134412825,,
8,0,0.071229786,-0.071229786,0.134827599,-0.134827599,,
9,0,0.071366079,-0.071366079,0.135033801,-0.135033801,,
10,0.017458776,0.071828894,-0.071828894,0.135426715,-0.135426715,,
11,0.051477589,0.071645409,-0.071645409,0.135243222,-0.135243222,,
12,0.139745891,0.072494313,-0.072494313,0.136162013,-0.136162013,,
13,0.149549514,0.072395749,-0.072395749,0.136133358,-0.136133358,,
14,0.149866164,0.072856843,-0.072856843,0.136175111,-0.136175111,,
15,0.149466172,0.072904341,-0.072904341,0.136222601,-0.136222601,,
16,0.148804218,0.073275134,-0.073275134,0.136104196,-0.136104196,,
17,0.150442451,0.072202757,-0.072202757,0.135311365,-0.135311365,,
18,0.151832432,0.072862327,-0.072862327,0.135551602,-0.135551602,,
19,0.147569403,0.071802109,-0.071802109,0.133163527,-0.133163527,,
20,0.146382943,0.072366625,-0.072366625,0.133937687,-0.133937687,,
21,0.145393029,0.071466625,-0.071466625,0.131779745,-0.131779745,,
22,0.147904664,0.071637452,-0.071637452,0.132020459,-0.132020459,,
23,0.145424813,0.070498899,-0.070498899,0.129763678,-0.129763678,,
24,0.150197595,0.071128003,-0.071128003,0.13088201,-0.13088201,,
25,0.162077069,0.070216879,-0.070216879,0.128223673,-0.128223673,,
26,0.166153803,0.069986708,-0.069986708,0.127783865,-0.127783865,,
27,0.177369982,0.069528513,-0.069528513,0.126277342,-0.126277342,,
28,0.188427269,0.069327392,-0.069327392,0.12370003,-0.12370003,,
29,0.192982435,0.069439232,-0.069439232,0.122274339,-0.122274339,,
30,0.198694676,0.068769634,-0.068769634,0.119927436,-0.119927436,,
31,0.208067924,0.069026478,-0.069026478,0.119555287,-0.119555287,,
32,0.239605308,0.067360699,-0.067360699,0.116771318,-0.116771318,,
33,0.257534206,0.067745864,-0.067745864,0.116946824,-0.116946824,,
34,0.291417122,0.066823021,-0.066823021,0.115045533,-0.115045533,,
35,0.298624694,0.067466453,-0.067466453,0.116038412,-0.116038412,,
36,0.308689982,0.066880122,-0.066880122,0.115032762,-0.115032762,,
37,0.31088078,0.067240871,-0.067240871,0.114974186,-0.114974186,,
38,0.331017017,0.067104056,-0.067104056,0.114278264,-0.114278264,,
39,0.328165323,0.067597911,-0.067597911,0.11568065,-0.11568065,,
40,0.341493964,0.067161821,-0.067161821,0.113846824,-0.113846824,,
41,0.336670786,0.067691021,-0.067691021,0.115284547,-0.115284547,,
42,0.346012235,0.06755197,-0.06755197,0.114376739,-0.114376739,,
43,0.345648021,0.066971958,-0.066971958,0.114285931,-0.114285931,,
44,0.35744679,0.066649519,-0.066649519,0.112705521,-0.112705521,,
45,0.357528448,0.067271434,-0.067271434,0.113257542,-0.113257542,,
46,0.360830784,0.067288898,-0.067288898,0.112715915,-0.112715915,,
47,0.361561507,0.066755086,-0.066755086,0.112182103,-0.112182103,,
48,0.364168584,0.067366667,-0.067366667,0.112514153,-0.112514153,,
49,0.374268979,0.066334866,-0.066334866,0.110503905,-0.110503905,,
50,0.373038888,0.067149818,-0.067149818,0.111738175,-0.111738175,,
51,0.38332364,0.066452838,-0.066452838,0.110272437,-0.110272437,,
52,0.377142817,0.067577668,-0.067577668,0.111746706,-0.111746706,,
