Step,f1,esl,-esl,pesl,-pesl,COR_ESL,COR_PESL
0,0,0.088685341,-0.088685341,0.167100176,-0.167100176,-0.383847787,0.772371738
1,0.167012766,0.086306207,-0.086306207,0.157455936,-0.157455936,,
2,0.211924791,0.084086321,-0.084086321,0.152875468,-0.152875468,,
3,0.330923021,0.080745824,-0.080745824,0.136803895,-0.136803895,,
4,0.190620258,0.088501394,-0.088501394,0.157416597,-0.157416597,,
5,0.242589653,0.082557842,-0.082557842,0.14329125,-0.14329125,,
6,0.264995664,0.080604829,-0.080604829,0.139779776,-0.139779776,,
7,0.257416129,0.078919947,-0.078919947,0.134210259,-0.134210259,,
8,0.329470456,0.08083386,-0.08083386,0.139504611,-0.139504611,,
9,0.334925592,0.079782605,-0.079782605,0.137697056,-0.137697056,,
10,0.328627318,0.078643441,-0.078643441,0.137566283,-0.137566283,,
11,0.328960449,0.078831121,-0.078831121,0.138051882,-0.138051882,,
12,0.329018265,0.078281976,-0.078281976,0.138087168,-0.138087168,,
13,0.323083758,0.077534623,-0.077534623,0.133833334,-0.133833334,,
14,0.326771945,0.076439627,-0.076439627,0.133953005,-0.133953005,,
15,0.346559912,0.075857028,-0.075857028,0.131204635,-0.131204635,,
16,0.346564323,0.0768914,-0.0768914,0.131184757,-0.131184757,,
17,0.360741347,0.076339796,-0.076339796,0.130587325,-0.130587325,,
18,0.355084181,0.077501982,-0.077501982,0.131692201,-0.131692201,,
19,0.372435838,0.07895641,-0.07895641,0.133490413,-0.133490413,,
20,0.335503846,0.087568104,-0.087568104,0.143316776,-0.143316776,,
21,0.401143491,0.082976088,-0.082976088,0.135287017,-0.135287017,,
22,0.409463942,0.083805941,-0.083805941,0.136815876,-0.136815876,,
23,0.410495609,0.084184378,-0.084184378,0.136816174,-0.136816174,,
24,0.413026273,0.085099377,-0.085099377,0.137960345,-0.137960345,,
25,0.417935759,0.085203014,-0.085203014,0.136963904,-0.136963904,,
26,0.413269967,0.086492985,-0.086492985,0.139319569,-0.139319569,,
27,0.420389265,0.085911326,-0.085911326,0.137821183,-0.137821183,,
28,0.402462274,0.08846648,-0.08846648,0.141774341,-0.141774341,,
29,0.417110741,0.088149264,-0.088149264,0.140299767,-0.140299767,,
30,0.433794647,0.08775609,-0.08775609,0.138531491,-0.138531491,,
31,0.425719351,0.087247126,-0.087247126,0.138641313,-0.138641313,,
32,0.429648876,0.08771839,-0.08771839,0.138757363,-0.138757363,,
33,0.435716659,0.086472936,-0.086472936,0.137213975,-0.137213975,,
34,0.41929698,0.088691637,-0.088691637,0.140120208,-0.140120208,,
35,0.434491187,0.086595319,-0.086595319,0.137405083,-0.137405083,,
36,0.432991028,0.088156447,-0.088156447,0.139413118,-0.139413118,,
37,0.434587032,0.087325908,-0.087325908,0.138307571,-0.138307571,,
38,0.431999952,0.087860473,-0.087860473,0.139071316,-0.139071316,,
39,0.445000648,0.085961096,-0.085961096,0.136003107,-0.136003107,,
40,0.437470496,0.087616503,-0.087616503,0.138368994,-0.138368994,,
41,0.443575501,0.085942477,-0.085942477,0.136511609,-0.136511609,,
42,0.435942322,0.087531805,-0.087531805,0.138467655,-0.138467655,,
43,0.438726902,0.086287871,-0.086287871,0.137315378,-0.137315378,,
44,0.430483609,0.088086382,-0.088086382,0.139194101,-0.139194101,,
45,0.445424706,0.085676946,-0.085676946,0.135661677,-0.135661677,,
46,0.446547508,0.086994059,-0.086994059,0.136852726,-0.136852726,,
47,0.447877944,0.086153954,-0.086153954,0.136024088,-0.136024088,,
48,0.447213143,0.087221101,-0.087221101,0.137091234,-0.137091234,,
49,0.448761106,0.087107755,-0.087107755,0.136806011,-0.136806011,,
50,0.44434163,0.08811447,-0.08811447,0.138190866,-0.138190866,,
51,0.444503009,0.088608108,-0.088608108,0.13875325,-0.13875325,,
52,0.441075593,0.088913269,-0.088913269,0.139001131,-0.139001131,,
53,0.436015815,0.089265026,-0.089265026,0.139708117,-0.139708117,,
54,0.449911177,0.088149704,-0.088149704,0.137435406,-0.137435406,,
55,0.447311223,0.087686285,-0.087686285,0.137224093,-0.137224093,,
56,0.460649788,0.086922966,-0.086922966,0.135246113,-0.135246113,,
57,0.457755208,0.086269751,-0.086269751,0.135039806,-0.135039806,,
58,0.473224223,0.085326433,-0.085326433,0.132629722,-0.132629722,,
59,0.467612594,0.085051335,-0.085051335,0.132801548,-0.132801548,,
60,0.478320718,0.084964029,-0.084964029,0.131843314,-0.131843314,,
61,0.480362475,0.083830029,-0.083830029,0.130514532,-0.130514532,,
62,0.481165469,0.085052781,-0.085052781,0.131599754,-0.131599754,,
63,0.491609037,0.083067499,-0.083067499,0.128686294,-0.128686294,,
64,0.48223412,0.085770532,-0.085770532,0.132225856,-0.132225856,,
65,0.500921726,0.082795888,-0.082795888,0.127750054,-0.127750054,,
66,0.473563761,0.087936409,-0.087936409,0.135388657,-0.135388657,,
